[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
26,Wertpapiere und Anteile,,Asset,,No,Yes,,2,,,,,,,,,,
27-28,"Kassenbestand, Schecks, Guthaben bei Kreditinstituten",,Asset,,No,Yes,,2,,,,,,,,,,
2700,Kassa,,Asset,,Yes,No,,27-28,,,,,,,,,,
2701,Kassabewegung noch nicht abgeglichen,,Asset,,Yes,No,,27-28,,,,,,,,,,
2703,nicht zugeordnete Eingangszahlungen Kassa,,Asset,,Yes,No,,27-28,,,,,,,,,,
2704,nicht zugeordnete Ausgangszahlungen Kassa,,Liability,,Yes,No,,27-28,,,,,,,,,,
2800,Bank,Bank Asset,Asset,,Yes,No,B_ASSET_ACCT,27-28,,,,,,,,,,
2801,Bankbewegung noch nicht abgeglichen,Bank transactions in transit,Asset,,Yes,No,B_INTRANSIT_ACCT,27-28,,,,,,,,,,
2803,nicht zugeordnete Eingangszahlungen Bank,"Received, unallocated payments",Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,27-28,,,,,,,,,,
2804,nicht zugeordnete Ausgangszahlungen Bank,Selected A/P invoices for payment ,Liability,,Yes,No,B_PAYMENTSELECT_ACCT,27-28,,,,,,,,,,
29,Rechnungsabgrenzungsposten,,Liability,,No,Yes,,2,,,,,,,,,,
2975, Kautionen,,Asset,,Yes,No,,29,,,,,,,,,,
3,Fremdkapitalkonten,,Liability,,No,Yes,,,,,,,,,,,,
30,Rückstellungen,,Liability,,No,Yes,,3,,,,,,,,,,
3043,Rückstellung für noch nicht abgerechnete Leistungen,"Received products/services from vendors, but not invoiced",Liability,,Yes,No,NOTINVOICEDRECEIPTS_ACCT,30,,,,,,,,,,
31,"Anleihen, Verbindlichkeiten gegenüber Kreditinstituten",,Liability,,No,Yes,,3,,,,,,,,,,
3170, Beratungs- u.Jahresabschlusskosten,,Liability,,Yes,No,,31,,,,,,,,,,
32,Erhaltene Anzahlungen auf Bestellungen,,Liability,,No,Yes,,3,,,,,,,,,,
33,Verbindlichkeiten aus Lieferungen und Leistungen,,Liability,,No,Yes,,3,,,,,,,,,,
3300,Verbindlichkeiten aus Lieferungen und Leistungen,Accounts Payables,Liability,,Yes,No,V_LIABILITY_ACCT,33,,,,,,,,,,
3301,Verbindlichkeiten aus Serviceleistungen,Accounts Payables for non-product revenue,Liability,,Yes,No,V_LIABILITY_SERVICES_ACCT,33,,,,,,,,,,
34,Verbindlichkeiten gegenüber verbundenen Unternehmen,,Liability,,No,Yes,,3,,,,,,,,,,
3400,Verbind. gegenüber verbundenen Unternehmen,Default Payables account for intercompany trx,Liability,,Yes,No,INTERCOMPANYDUETO_ACCT,34,,,,,,,,,,
35,Verbindlichkeiten aus Steuern,,Liability,,No,Yes,,3,,,,,,,,,,
3500,"Umsatzsteuer (nicht bebuchen, Konten je USt-Satz anlegen)",Tax to be paid - before tax declaration,Liability,,Yes,No,T_DUE_ACCT,35,,,,,,,,,,
3501,Umsatzsteuer 20%,,Liability,,Yes,No,,35,,,,,,,,,,
3502,Umsatzsteuer 10%,,Liability,,Yes,No,,35,,,,,,,,,,
3510,Umssatzsteuer aus innergemeinschaftlichem Erwerb,,Liability,,Yes,No,,35,,,,,,,,,,
3525, Lohnsteuer,,Liability,,Yes,No,,35,,,,,,,,,,
3540, Verr. Lohnabgaben Finanzamt,,Liability,,Yes,No,,35,,,,,,,,,,
3541, Verr. Lohnabgaben Gemeinde,,Liability,,Yes,No,,35,,,,,,,,,,
3550, Finanzamt,,Liability,,Yes,No,,35,,,,,,,,,,
36,Verbindlichkeiten im Rahmen der sozialen Sicherheit,,Liability,,No,Yes,,3,,,,,,,,,,
3600, Verr. Lohnabgaben GKK,,Liability,,Yes,No,,36,,,,,,,,,,
3620, Verr. Löhne und Gehälter,,Liability,,Yes,No,,36,,,,,,,,,,
37-38,Übrige sonstige Verbindlichkeiten,,Liability,,No,Yes,,3,,,,,,,,,,
3800, Versch. Verbindlichkeiten kurzfr.,,Liability,,Yes,No,,37-38,,,,,,,,,,
3846, Telefon,,Liability,,Yes,No,,37-38,,,,,,,,,,
3853, Kammerumlage Finanzamt,,Liability,,Yes,No,,37-38,,,,,,,,,,
3858, Buchhaltung u. Lohnverrechnung,,Liability,,Yes,No,,37-38,,,,,,,,,,
39,Passive Rechnungsabgrenzungsposten,,Liability,,No,Yes,,3,,,,,,,,,,
3900, Passive Rechnungsabgrenzungsposten,,Liability,,Yes,No,,39,,,,,,,,,,
4,Betriebliche Erträge,,Revenue,,No,Yes,,,,,,,,,,,,
40-44,Umsatzerlöse und Erlösschmälerungen,,Revenue,,No,Yes,,4,,,,,,,,,,
4000,Erlöse 20% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4000x,"Erlöse (nicht bebuchen, Konten je USt-Satz anlegen)",Default Product or Service revenue,Revenue,,Yes,No,P_REVENUE_ACCT,40-44,,,,,,,,,,
4030,Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 20% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4100,Erlöse 10% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4130,Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 10% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4290,nicht steuerbare Umsätze,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4295,nicht steuerbare Auslandsumsätze,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4430,gewährte Skonti ohne USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4430x,"Gewährte Skonti (nicht bebuchen, Konten je USt-Satz anlegen)",Granted early payment discount to customers,Revenue,,Yes,No,PAYDISCOUNT_EXP_ACCT,40-44,,,,,,,,,,
4431,Gewährte Skonti 20% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4435,Gewährte Skonti 10% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4440,gewährte Rabatte ohne USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4440x,"Gewährte Rabatte (nicht bebuchen, Konten je USt-Satz anlegen)",Granted Trade discounts (corrects Product Revenue),Revenue,,Yes,No,P_TRADEDISCOUNTGRANT_ACCT,40-44,,,,,,,,,,
4441,gewährte Rabatte 20% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4445,gewährte Rabatte 10% USt.,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4475,gewährte Rabatte aus steuerfreien innergemeinschaftlichen Lieferungen,,Revenue,,Yes,No,,40-44,,,,,,,,,,
4700, Ertr. aus d. Auflösg.v. Rückstellg.,,Revenue,,Yes,No,,4,,,,,,,,,,
4800, Sonstige Erträge -  0 %,,Revenue,,Yes,No,,4,,,,,,,,,,
4830, Sonstige Erlöse 0%,,Revenue,,Yes,No,,4,,,,,,,,,,
4831, Sonstige Erlöse 10%,,Revenue,,Yes,No,,4,,,,,,,,,,
4835, Erlöse aus Zuschüssen,,Revenue,,Yes,No,,4,,,,,,,,,,
4950,Erträge aus Kursdifferenzen,Difference between invoice and payment currency,Revenue,,Yes,No,REALIZEDGAIN_ACCT,4,,,,,,,,,,
4950a,Erträge aus der Währungsumrechnung (nicht realisiert),Difference between foreign currency receivables/payables and current rate,Revenue,,Yes,No,UNREALIZEDGAIN_ACCT,4,,,,,,,,,,
5,"Materialaufwand, Betriebliche Aufwendungen",,,,No,Yes,,,,,,,,,,,,
5100,"Wareneingang (nicht bebuchen, Konten je USt-Satz anlegen)",Default Product costs (I.e. on inventory),Expense,,Yes,No,P_INVENTORYCLEARING_ACCT,5,,,,,,,,,,
5101,Bestandsveränd. Eingangsr. Preisdifferenz ???,Difference between product cost and invoice price (IPV),Expense,,Yes,No,P_INVOICEPRICEVARIANCE_ACCT,5,,,,,,,,,,
5102,Bezugskosten Clearingkonto ???,Default Landed Cost Clearing,Expense,,Yes,No,P_LANDEDCOSTCLEARING_ACCT,5,,,,,,,,,,
5103,Bestandsveränd. Ausgangsr. Preisdifferenz ???,Difference between purchase price and standard costs (PPV),Expense,,Yes,No,P_PURCHASEPRICEVARIANCE_ACCT,5,,,,,,,,,,
5104,Bestandsveränderung Kostendifferenz,Account for Rate Variance,Expense,,Yes,No,P_RATEVARIANCE_ACCT,5,,,,,,,,,,
5105,Bestandsveränd. Ausgangsr. Preisdifferenz Offset ???,Offset Account for Purchase price variance (PPV) ,Expense,,Yes,No,PPVOFFSET_ACCT,5,,,,,,,,,,
5200,Wareneinkauf 20% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5300,Wareneinkauf 10% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5500,Wareneinkauf 12% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5770,Fremdleistungen,Default Service costs (I.e. not on inventory),Expense,,Yes,No,P_EXPENSE_ACCT,5,,,,,,,,,,
5830,"Erhaltene Skonti (nicht bebuchen, Konten je USt-Satz anlegen)",Granted early payment discount from vendors,Expense,,Yes,No,PAYDISCOUNT_REV_ACCT,5,,,,,,,,,,
5831,Erhaltene Skonti 20% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5835,Erhaltene Skonti 10% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5840,"Erhaltene Rabatte (nicht bebuchen, Konten je USt-Satz anlegen)",Received Trade Discounts (corrects Product expense),Expense,,Yes,No,P_TRADEDISCOUNTREC_ACCT,5,,,,,,,,,,
5841,erhaltene Rabatte 20% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5845,erhaltene Rabatte 10% Vorsteuer,,Revenue,,Yes,No,,5,,,,,,,,,,
5860,Erhaltene Skonti steuerfrei,,Revenue,,Yes,No,,5,,,,,,,,,,
5870,erhaltene Rabatte,,Revenue,,Yes,No,,5,,,,,,,,,,
6,Personalaufwand,,Expense,,No,Yes,,,,,,,,,,,,
6200, Gehälter,,Expense,,Yes,No,,6,,,,,,,,,,
6230, Sonderzahlungen Angestellte,,Expense,,Yes,No,,6,,,,,,,,,,
6380, Kilometergelder,,Expense,,Yes,No,,6,,,,,,,,,,
6600, Gesetzl.Sozialaufw. Arbeiter,,Expense,,Yes,No,,6,,,,,,,,,,
6605, Gesetzl.Sozialaufw. Angest.,,Expense,,Yes,No,,6,,,,,,,,,,
6610, MV-Beiträge,,Expense,,Yes,No,,6,,,,,,,,,,
6620, Dienstgeberabgabe,,Expense,,Yes,No,,6,,,,,,,,,,
6691, Dienstgeberbeitrag,,Expense,,Yes,No,,6,,,,,,,,,,
6692, Zuschlag zum Dienstgeberbeitr.,,Expense,,Yes,No,,6,,,,,,,,,,
6693, Kommunalsteuer,,Expense,,Yes,No,,6,,,,,,,,,,
6694, Dienstgeberabgabe,,Expense,,Yes,No,,6,,,,,,,,,,
6700, Freiwillige Sozialaufwendungen,,Expense,,Yes,No,,6,,,,,,,,,,
7,Betriebliche Aufwendungen,,Expense,,No,Yes,,,,,,,,,,,,
7010, Abschreibungen Anlagevermögen,,Expense,,Yes,No,,7,,,,,,,,,,
7030, G W G (20%),,Expense,,Yes,No,,7,,,,,,,,,,
7070, Geringwertige Wirtschaftsgüter,,Expense,,Yes,No,,7,,,,,,,,,,
71,Sonstige Steuern,,Expense,,No,Yes,,7,,,,,,,,,,
7100,Sonstige Steuern,Sales Tax paid to Vendors,Expense,,Yes,No,T_EXPENSE_ACCT,71,,,,,,,,,,
7171, Kammerumlage,,Expense,,Yes,No,,71,,,,,,,,,,
7180, Sonstige Gebühren u. Abgaben,,Expense,,Yes,No,,71,,,,,,,,,,
72,"Instandhaltung, Reinigung, Entsorgung, Beleuchtung",,Expense,,No,Yes,,7,,,,,,,,,,
72-78,Übrige betriebliche Aufwendungen,,Expense,,No,Yes,,7,,,,,,,,,,
7210, Instandh. Geräte u. Einrichtung,,Expense,,Yes,No,,72-78,,,,,,,,,,
7212, Instandhaltung Räume u. Gebäude,,Expense,,Yes,No,,72-78,,,,,,,,,,
7220, Reinigung,,Expense,,Yes,No,,72-78,,,,,,,,,,
7230, Entsorgungskosten,,Expense,,Yes,No,,72-78,,,,,,,,,,
7240, Kfz-Benzin,,Expense,,Yes,No,,72-78,,,,,,,,,,
7242, Kfz-Aufwand,,Expense,,Yes,No,,72-78,,,,,,,,,,
7243, KZF-Aufw.sonst.,,Expense,,Yes,No,,72-78,,,,,,,,,,
7244, Kfz-Leasing,,Expense,,Yes,No,,72-78,,,,,,,,,,
7280, Leihwagen,,Expense,,Yes,No,,72-78,,,,,,,,,,
7290, Park- und Mautgebühren,,Expense,,Yes,No,,72-78,,,,,,,,,,
7295, PKW - Sonstiges,,Expense,,Yes,No,,72-78,,,,,,,,,,
73,"Transport-, Reise- und Fahrtaufwand, Nachrichtenaufwand",,Expense,,No,Yes,,7,,,,,,,,,,
7300, Transporte durch Dritte,,Expense,,Yes,No,,73,,,,,,,,,,
7340, Kilometergeld,,Expense,,Yes,No,,73,,,,,,,,,,
7345, Kilometergelder,,Expense,,Yes,No,,73,,,,,,,,,,
7350, Fahrtkosten,,Expense,,Yes,No,,73,,,,,,,,,,
7360, Diäten,,Expense,,Yes,No,,73,,,,,,,,,,
7380, Telefon,,Expense,,Yes,No,,73,,,,,,,,,,
7381, Internet,,Expense,,Yes,No,,73,,,,,,,,,,
7388, Mobiltel.,,Expense,,Yes,No,,73,,,,,,,,,,
7390, Porti,,Expense,,Yes,No,,73,,,,,,,,,,
74,"Miet-, Pacht-, Leasing- und Lizenzaufwand",,Expense,,No,Yes,,7,,,,,,,,,,
7400, Miete,,Expense,,Yes,No,,74,,,,,,,,,,
7401, Pacht,,Expense,,Yes,No,,74,,,,,,,,,,
7410, Miete beweglicher Anlagegüter,,Expense,,Yes,No,,74,,,,,,,,,,
7480, Lizenzgebühren,,Expense,,Yes,No,,74,,,,,,,,,,
75,"Aufwand für beigestelltes Personal, Prvisionen an Dritte, Geschäftsführer",,Expense,,No,Yes,,7,,,,,,,,,,
76,"Büro-, Werbe- und Repräsentationsaufwand",,Expense,,No,Yes,,7,,,,,,,,,,
7600, Büromaterial,,Expense,,Yes,No,,76,,,,,,,,,,
7610, Druckerzeugnisse u.Vervielfältigung,,Expense,,Yes,No,,76,,,,,,,,,,
7620, Fachliteratur und Zeitungen,,Expense,,Yes,No,,76,,,,,,,,,,
7650, Werbeaufwand,,Expense,,Yes,No,,76,,,,,,,,,,
7660, Werbeähnlicher Aufwand,,Expense,,Yes,No,,76,,,,,,,,,,
7680, Dekorationsmaterial,,Expense,,Yes,No,,76,,,,,,,,,,
77-78,"Versicherungen, übrige Aufwendungen",,Expense,,No,Yes,,7,,,,,,,,,,
7700, Versicherungen,,Expense,,Yes,No,,77-78,,,,,,,,,,
7750, Steuerberatungsaufwand,,Expense,,Yes,No,,77-78,,,,,,,,,,
7755, Buchhaltunsaufwand,,Expense,,Yes,No,,77-78,,,,,,,,,,
7760, Buchführungs- und EDV-Kosten,,Expense,,Yes,No,,77-78,,,,,,,,,,
7766, Gründungskosten,,Expense,,Yes,No,,77-78,,,,,,,,,,
7770, Fortbildung,,Expense,,Yes,No,,77-78,,,,,,,,,,
7783,Sonstige Abgaben,Default other expense,Expense,,Yes,No,CH_EXPENSE_ACCT,77-78,,,,,,,,,,
7790, Spesen des Geldverkehrs,,Expense,,Yes,No,,77-78,,,,,,,,,,
7801,Abschreibungen von Vorräten,Physical Inventory Gain/Loss,Expense,,Yes,No,W_DIFFERENCES_ACCT,77-78,,,,,,,,,,
7803,Forderungsausfälle,Receivables write-off - bad debt,Expense,,Yes,No,WRITEOFF_ACCT,77-78,,,,,,,,,,
7804,Forderungsausfälle 20% USt.,,Expense,,Yes,No,,77-78,,,,,,,,,,
7805,Forderungsausfälle 10% USt.,,Expense,,Yes,No,,77-78,,,,,,,,,,
7810,Aufwendungen für Kursdifferenzen,Difference between invoice and payment currency,Expense,,Yes,No,REALIZEDLOSS_ACCT,77-78,,,,,,,,,,
7810a,Aufwendungen aus der Währungsumrechnung (nicht realisiert),Difference between foreign currency receivables/payables and current rate,Expense,,Yes,No,UNREALIZEDLOSS_ACCT,77-78,,,,,,,,,,
7811,Aufwendungen für Kursdifferenzen,Rounding difference to make journal balance in accounting currency,Expense,,Yes,No,CURRENCYBALANCING_ACCT,77-78,,,,,,,,,,
7899,Verschiedene betriebliche Aufwendungen,Default Account (if no other account is defined) V1.1,Expense,,Yes,No,DEFAULT_ACCT,77-78,,,,,,,,,,
79,Konten für das Umsatzkostenverfahren,,Expense,,No,Yes,,7,,,,,,,,,,
7950, Centausgleich,,Expense,,Yes,No,,79,,,,,,,,,,
8,"Finanzertr. und -aufwendg., außerordentl. Erträge, Steuern vom Einkommen",,Expense,,No,Yes,,,,,,,,,,,,
80-83,Finanzerträge und Finanzaufwendungen,,Expense,,No,Yes,,8,,,,,,,,,,
8060, Zinserträge,,Revenue,,Yes,No,,80-83,,,,,,,,,,
8064, Zinserträge (endbesteuert),,Revenue,,Yes,No,,80-83,,,,,,,,,,
8090, Zinsenertr. aus Ausl. u. Darlehen,,Revenue,,Yes,No,,80-83,,,,,,,,,,
8100,Sonstige Zinsen und ähnliche Erträge,Bank interest revenue,Revenue,,Yes,No,B_INTERESTREV_ACCT,80-83,,,,,,,,,,
8280, Zinsen für Bankkredite,,Expense,,Yes,No,,80-83,,,,,,,,,,
8300,Zinsen und ähnliche Aufwendungen,Bank interest expense,Expense,,Yes,No,B_INTERESTEXP_ACCT,80-83,,,,,,,,,,
8330, Säumnisgebühren,,Expense,,Yes,No,,80-83,,,,,,,,,,
84,Außerordentliche Erträge und Aufwendungen,,Expense,,No,Yes,,8,,,,,,,,,,
85,Steuern vom Einkommen und vom Ertrag,,Expense,,No,Yes,,8,,,,,,,,,,
8500, Körperschaftsteuer,,Expense,,Yes,No,,85,,,,,,,,,,
8540, Kapitalertragsteuer,,Expense,,Yes,No,,85,,,,,,,,,,
86-89,"Rücklagenbewegung, Ergebnisüberrechnung",,Expense,,No,Yes,,8,,,,,,,,,,
8980, Gewinn,,Owner's Equity,,No,No,,89,,,,,,,,,,
9,"Eigenkapital, unversteuerte Rücklagen, Abschlußkonten",,Owner's Equity,,No,Yes,,,,,,,,,,,,
9010, Stammkapital,,Owner's Equity,,No,No,,9,,,,,,,,,,
9019, Ausst. Einlagen auf d. Stammkapital,,Owner's Equity,,No,No,,9,,,,,,,,,,
9800, Eröffnungsbilanz,,Owner's Equity,,No,No,,9,,,,,,,,,,
9880, Verlustvortrag,,Owner's Equity,,No,No,,9,,,,,,,,,,
CB_ASSET,Kassenbuch-Konto CB_ASSET deaktiviert in Standardkonfiguration,Cash Book Asset,Asset,,Yes,No,CB_ASSET_ACCT,XXXX,,,,,,,,,,
CB_CASHTRANSFER,Kassenbuch-Konto CB_CASHTRANSFER deaktiviert in Standardkonfiguration,Cash Book Transfer,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,XXXX,,,,,,,,,,
CB_DIFFERENCES,Kassenbuch-Konto CB_DIFFERENCES deaktiviert in Standardkonfiguration,Petty Cash Differences,Expense,,Yes,No,CB_DIFFERENCES_ACCT,XXXX,,,,,,,,,,
CB_EXPENSE,Kassenbuch-Konto CB_EXPENSE deaktiviert in Standardkonfiguration,Default other expense for petty cash transactions,Expense,,Yes,No,CB_EXPENSE_ACCT,XXXX,,,,,,,,,,
CB_RECEIPT,Kassenbuch-Konto CB_RECEIPT deaktiviert in Standardkonfiguration,Default other revenue for petty cash transactions,Revenue,,Yes,No,CB_RECEIPT_ACCT,XXXX,,,,,,,,,,
COMMITMENTOFFSET,Bestellung/Reservierung Einkauf,,Memo,,No,No,COMMITMENTOFFSET_ACCT,XXXX,,,,,,,,,,
COMMITMENTOFFSETSALES,Bestellung/Reservierung Verkauf,,Memo,,No,No,COMMITMENTOFFSETSALES_ACCT,XXXX,,,,,,,,,,
SUSP?,Suspense balancing,Difference to make journal balance in source currency - needs to be solved,Expense,,Yes,No,SUSPENSEBALANCING_ACCT,XXXX,,,,,,,,,,
UNEARNEDREVENUE,Konto UNEARNED_REVENUE deaktiviert in Standardkonfiguration,"We have invoiced, but not delivered yet",Revenue,,Yes,No,UNEARNEDREVENUE_ACCT,XXXX,,,,,,,,,,
XXXX,nicht zugeordnete iDempiere-Konten,,Memo,,No,Yes,,,,,,,,,,,,
