[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
112015,ORGANISMOS COOPERATIVOS FINANCIEROS,,Asset,,,,,1120,,,,,,,,,,
1125,FONDOS,,Asset,,,Yes,,11,,,,,,,,,,
112505,ROTATORIOS MONEDA NACIONAL,,Asset,,,,,1125,,,,,,,,,,
112510,ROTATORIOS MONEDA EXTRANJERA,,Asset,,,,,1125,,,,,,,,,,
112515,ESPECIALES MONEDA NACIONAL,,Asset,,,,,1125,,,,,,,,,,
112520,ESPECIALES MONEDA EXTRANJERA,,Asset,,,,,1125,,,,,,,,,,
112525,DE AMORTIZACION MONEDA NACIONAL,,Asset,,,,,1125,,,,,,,,,,
112530,DE AMORTIZACION MONEDA EXTRANJERA,,Asset,,,,,1125,,,,,,,,,,
12,INVERSIONES,,Asset,,,Yes,,1,,,,,,,,,,
1205,ACCIONES,,Asset,,,Yes,,12,,,,,,,,,,
120505,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",,Asset,,,,,1205,,,,,,,,,,
120510,PESCA,,Asset,,,,,1205,,,,,,,,,,
120515,EXPLOTACION DE MINAS Y CANTERAS,,Asset,,,,,1205,,,,,,,,,,
120520,INDUSTRIA MANUFACTURERA,,Asset,,,,,1205,,,,,,,,,,
120525,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",,Asset,,,,,1205,,,,,,,,,,
120530,CONSTRUCCION,,Asset,,,,,1205,,,,,,,,,,
120535,COMERCIO AL POR MAYOR Y AL POR MENOR,,Asset,,,,,1205,,,,,,,,,,
120540,HOTELES Y RESTAURANTES,,Asset,,,,,1205,,,,,,,,,,
120545,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",,Asset,,,,,1205,,,,,,,,,,
120550,ACTIVIDAD FINANCIERA,,Asset,,,,,1205,,,,,,,,,,
120555,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",,Asset,,,,,1205,,,,,,,,,,
120560,ENSEÑANZA,,Asset,,,,,1205,,,,,,,,,,
120565,SERVICIOS SOCIALES Y DE SALUD,,Asset,,,,,1205,,,,,,,,,,
120570,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES",,Asset,,,,,1205,,,,,,,,,,
120599,AJUSTES POR INFLACION,,Asset,,,,,1205,,,,,,,,,,
1210,CUOTAS O PARTES DE INTERES SOCIAL,,Asset,,,Yes,,12,,,,,,,,,,
121005,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",,Asset,,,,,1210,,,,,,,,,,
121010,PESCA,,Asset,,,,,1210,,,,,,,,,,
121015,EXPLOTACION DE MINAS Y CANTERAS,,Asset,,,,,1210,,,,,,,,,,
121020,INDUSTRIA MANUFACTURERA,,Asset,,,,,1210,,,,,,,,,,
121025,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",,Asset,,,,,1210,,,,,,,,,,
121030,CONSTRUCCION,,Asset,,,,,1210,,,,,,,,,,
121035,COMERCIO AL POR MAYOR Y AL POR MENOR,,Asset,,,,,1210,,,,,,,,,,
121040,HOTELES Y RESTAURANTES,,Asset,,,,,1210,,,,,,,,,,
121045,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",,Asset,,,,,1210,,,,,,,,,,
121050,ACTIVIDAD FINANCIERA,,Asset,,,,,1210,,,,,,,,,,
121055,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",,Asset,,,,,1210,,,,,,,,,,
121060,ENSEÑANZA,,Asset,,,,,1210,,,,,,,,,,
121065,SERVICIOS SOCIALES Y DE SALUD,,Asset,,,,,1210,,,,,,,,,,
121070,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES",,Asset,,,,,1210,,,,,,,,,,
121099,AJUSTES POR INFLACION,,Asset,,,,,1210,,,,,,,,,,
1215,BONOS,,Asset,,,Yes,,12,,,,,,,,,,
121505,BONOS PUBLICOS MONEDA NACIONAL,,Asset,,,,,1215,,,,,,,,,,
121510,BONOS PUBLICOS MONEDA EXTRANJERA,,Asset,,,,,1215,,,,,,,,,,
121515,BONOS ORDINARIOS,,Asset,,,,,1215,,,,,,,,,,
121520,BONOS CONVERTIBLES EN ACCIONES,,Asset,,,,,1215,,,,,,,,,,
121595,OTROS,,Asset,,,,,1215,,,,,,,,,,
1220,CEDULAS,,Asset,,,Yes,,12,,,,,,,,,,
122005,CEDULAS DE CAPITALIZACION,,Asset,,,,,1220,,,,,,,,,,
122010,CEDULAS HIPOTECARIAS,,Asset,,,,,1220,,,,,,,,,,
122015,CEDULAS DE INVERSION,,Asset,,,,,1220,,,,,,,,,,
122095,OTRAS,,Asset,,,,,1220,,,,,,,,,,
1225,CERTIFICADOS,,Asset,,,Yes,,12,,,,,,,,,,
122505,CERTIFICADOS DE DEPOSITO A TERMINO (C.D.T.),,Asset,,,,,1225,,,,,,,,,,
122510,CERTIFICADOS DE DEPOSITO DE AHORRO,,Asset,,,,,1225,,,,,,,,,,
122515,CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (C.A.V.C.),,Asset,,,,,1225,,,,,,,,,,
122520,CERTIFICADOS DE CAMBIO,,Asset,,,,,1225,,,,,,,,,,
122525,CERTIFICADOS CAFETEROS VALORIZABLES,,Asset,,,,,1225,,,,,,,,,,
122530,CERTIFICADOS ELECTRICOS VALORIZABLES (C.E.V.),,Asset,,,,,1225,,,,,,,,,,
122535,CERTIFICADOS DE REEMBOLSO TRIBUTARIO (C.E.R.T.),,Asset,,,,,1225,,,,,,,,,,
122540,CERTIFICADOS DE DESARROLLO TURISTICO,,Asset,,,,,1225,,,,,,,,,,
122545,CERTIFICADOS DE INVERSION FORESTAL (C.I.F.),,Asset,,,,,1225,,,,,,,,,,
122595,OTROS,,Asset,,,,,1225,,,,,,,,,,
1230,PAPELES COMERCIALES,,Asset,,,Yes,,12,,,,,,,,,,
123005,EMPRESAS COMERCIALES,,Asset,,,,,1230,,,,,,,,,,
123010,EMPRESAS INDUSTRIALES,,Asset,,,,,1230,,,,,,,,,,
123015,EMPRESAS DE SERVICIOS,,Asset,,,,,1230,,,,,,,,,,
1235,TITULOS,,Asset,,,Yes,,12,,,,,,,,,,
123505,TITULOS DE DESARROLLO AGROPECUARIO,,Asset,,,,,1235,,,,,,,,,,
123510,TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO,,Asset,,,,,1235,,,,,,,,,,
123515,TITULOS DE TESORERIA (T.E.S.),,Asset,,,,,1235,,,,,,,,,,
123520,TITULOS DE PARTICIPACION,,Asset,,,,,1235,,,,,,,,,,
123525,TITULOS DE CREDITO DE FOMENTO,,Asset,,,,,1235,,,,,,,,,,
123530,TITULOS FINANCIEROS AGROINDUSTRIALES (T.F.A.),,Asset,,,,,1235,,,,,,,,,,
123535,TITULOS DE AHORRO CAFETERO (T.A.C.),,Asset,,,,,1235,,,,,,,,,,
123540,TITULOS DE AHORRO NACIONAL (T.A.N.),,Asset,,,,,1235,,,,,,,,,,
123545,TITULOS ENERGETICOS DE RENTABILIDAD CRECIENTE (T.E.R.),,Asset,,,,,1235,,,,,,,,,,
123550,TITULOS DE AHORRO EDUCATIVO (T.A.E.),,Asset,,,,,1235,,,,,,,,,,
123555,TITULOS FINANCIEROS INDUSTRIALES Y COMERCIALES,,Asset,,,,,1235,,,,,,,,,,
123560,TESOROS,,Asset,,,,,1235,,,,,,,,,,
123565,TITULOS DE DEVOLUCION DE IMPUESTOS NACIONALES (TIDIS),,Asset,,,,,1235,,,,,,,,,,
123570,TITULOS INMOBILIARIOS,,Asset,,,,,1235,,,,,,,,,,
123595,OTROS,,Asset,,,,,1235,,,,,,,,,,
1240,ACEPTACIONES BANCARIAS O FINANCIERAS,,Asset,,,Yes,,12,,,,,,,,,,
124005,BANCOS COMERCIALES,,Asset,,,,,1240,,,,,,,,,,
124010,COMPAÑIAS DE FINANCIAMIENTO COMERCIAL,,Asset,,,,,1240,,,,,,,,,,
124015,CORPORACIONES FINANCIERAS,,Asset,,,,,1240,,,,,,,,,,
124095,OTRAS,,Asset,,,,,1240,,,,,,,,,,
1245,DERECHOS FIDUCIARIOS,,Asset,,,Yes,,12,,,,,,,,,,
124505,FIDEICOMISOS DE INVERSION MONEDA NACIONAL,,Asset,,,,,1245,,,,,,,,,,
124510,FIDEICOMISOS DE INVERSION MONEDA EXTRANJERA,,Asset,,,,,1245,,,,,,,,,,
1250,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS),,Asset,,,Yes,,12,,,,,,,,,,
125005,ACCIONES,,Asset,,,,,1250,,,,,,,,,,
125010,CUOTAS O PARTES DE INTERES SOCIAL,,Asset,,,,,1250,,,,,,,,,,
125015,BONOS,,Asset,,,,,1250,,,,,,,,,,
125020,CEDULAS,,Asset,,,,,1250,,,,,,,,,,
125025,CERTIFICADOS,,Asset,,,,,1250,,,,,,,,,,
125030,PAPELES COMERCIALES,,Asset,,,,,1250,,,,,,,,,,
125035,TITULOS,,Asset,,,,,1250,,,,,,,,,,
125040,ACEPTACIONES BANCARIAS O FINANCIERAS 125095 OTROS,,Asset,,,,,1250,,,,,,,,,,
125099,AJUSTES POR INFLACION,,Asset,,,,,1250,,,,,,,,,,
1255,OBLIGATORIAS,,Asset,,,Yes,,12,,,,,,,,,,
125505,BONOS DE FINANCIAMIENTO ESPECIAL,,Asset,,,,,1255,,,,,,,,,,
125510,BONOS DE FINANCIAMIENTO PRESUPUESTAL,,Asset,,,,,1255,,,,,,,,,,
125515,BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (B.D.S.I.),,Asset,,,,,1255,,,,,,,,,,
125595,OTRAS,,Asset,,,,,1255,,,,,,,,,,
1260,CUENTAS EN PARTICIPACION,,Asset,,,Yes,,12,,,,,,,,,,
126001,126001 a 126098,,Asset,,,,,1260,,,,,,,,,,
126099,AJUSTES POR INFLACION,,Asset,,,,,1260,,,,,,,,,,
1295,OTRAS INVERSIONES,,Asset,,,Yes,,12,,,,,,,,,,
129505,APORTES EN COOPERATIVAS,,Asset,,,,,1295,,,,,,,,,,
129510,DERECHOS EN CLUBES SOCIALES,,Asset,,,,,1295,,,,,,,,,,
129515,ACCIONES O DERECHOS EN CLUBES DEPORTIVOS,,Asset,,,,,1295,,,,,,,,,,
129520,BONOS EN COLEGIOS,,Asset,,,,,1295,,,,,,,,,,
129595,DIVERSAS,,Asset,,,,,1295,,,,,,,,,,
129599,AJUSTES POR INFLACION,,Asset,,,,,1295,,,,,,,,,,
1299,PROVISIONES,,Asset,,,Yes,,12,,,,,,,,,,
129905,ACCIONES,,Asset,,,,,1299,,,,,,,,,,
129910,CUOTAS O PARTES DE INTERES SOCIAL,,Asset,,,,,1299,,,,,,,,,,
129915,BONOS,,Asset,,,,,1299,,,,,,,,,,
129920,CEDULAS,,Asset,,,,,1299,,,,,,,,,,
129925,CERTIFICADOS,,Asset,,,,,1299,,,,,,,,,,
129930,PAPELES COMERCIALES,,Asset,,,,,1299,,,,,,,,,,
129935,TITULOS,,Asset,,,,,1299,,,,,,,,,,
129940,ACEPTACIONES BANCARIAS O FINANCIERAS,,Asset,,,,,1299,,,,,,,,,,
129945,DERECHOS FIDUCIARIOS,,Asset,,,,,1299,,,,,,,,,,
129950,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS,,Asset,,,,,1299,,,,,,,,,,
129955,OBLIGATORIAS,,Asset,,,,,1299,,,,,,,,,,
129960,CUENTAS EN PARTICIPACION,,Asset,,,,,1299,,,,,,,,,,
129995,OTRAS INVERSIONES,,Asset,,,,,1299,,,,,,,,,,
13,DEUDORES,,Asset,,,Yes,,1,,,,,,,,,,
1305,CLIENTES,,Asset,,,Yes,,13,,,,,,,,,,
130505,NACIONALES,,Asset,,,,C_RECEIVABLE_ACCT,1305,,,,,,,,,,
130510,DEL EXTERIOR,,Asset,,,,,1305,,,,,,,,,,
130515,DEUDORES DEL SISTEMA,,Asset,,,Yes,,1305,,,,,,,,,,
13051590,DEFAULT DEUDORES POR SERVICIOS,,Asset,,,,C_RECEIVABLE_SERVICES_ACCT,130515,,,,,,,,,,
130516,DEFAULT COMPROMISOS DEUDORES,,Asset,,,,COMMITMENTOFFSETSALES_ACCT,1305,,,,,,,,,,
1310,CUENTAS CORRIENTES COMERCIALES,,Asset,,,Yes,,13,,,,,,,,,,
131005,CASA MATRIZ,,Asset,,,,,1310,,,,,,,,,,
131010,COMPAÑIAS VINCULADAS,,Asset,,,,,1310,,,,,,,,,,
131015,ACCIONISTAS O SOCIOS,,Asset,,,,,1310,,,,,,,,,,
131020,PARTICULARES,,Asset,,,,,1310,,,,,,,,,,
131095,OTRAS,,Asset,,,,,1310,,,,,,,,,,
1315,CUENTAS POR COBRAR A CASA MATRIZ,,Asset,,,Yes,,13,,,,,,,,,,
131505,VENTAS,,Asset,,,,,1315,,,,,,,,,,
131510,PAGOS A NOMBRE DE CASA MATRIZ,,Asset,,,,,1315,,,,,,,,,,
131515,VALORES RECIBIDOS POR CASA MATRIZ,,Asset,,,,,1315,,,,,,,,,,
131520,PRESTAMOS,,Asset,,,,,1315,,,,,,,,,,
1320,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS,,Asset,,,Yes,,13,,,,,,,,,,
132005,FILIALES,,Asset,,,,INTERCOMPANYDUEFROM_ACCT,1320,,,,,,,,,,
132010,SUBSIDIARIAS,,Asset,,,,,1320,,,,,,,,,,
132015,SUCURSALES,,Asset,,,,,1320,,,,,,,,,,
1325,CUENTA S POR COBRAR A SOCIOS Y ACCIONISTAS,,Asset,,,Yes,,13,,,,,,,,,,
132505,A SOCIOS,,Asset,,,,,1325,,,,,,,,,,
132510,A ACCIONISTAS,,Asset,,,,,1325,,,,,,,,,,
1328,APORTES POR COBRAR,,Asset,,,Yes,,13,,,,,,,,,,
132801,132801 a 132898,,Asset,,,,,1328,,,,,,,,,,
1330,ANTICIPOS Y AVANCES,,Asset,,,Yes,,13,,,,,,,,,,
133005,A PROVEEDORES,,Asset,,,,V_PREPAYMENT_ACCT,1330,,,,,,,,,,
133010,A CONTRATISTAS,,Asset,,,,,1330,,,,,,,,,,
133015,A TRABAJADORES,,Asset,,,Yes,,1330,,,,,,,,,,
13301501,PARA GASTOS DE VIAJE,,Asset,,,,,133015,,,,,,,,,,
13301505,ANTICIPO PARA GASTOS VARIOS,,Asset,,,,,133015,,,,,,,,,,
133020,A AGENTES,,Asset,,,,,1330,,,,,,,,,,
133025,A CONCESIONARIOS,,Asset,,,,,1330,,,,,,,,,,
133030,DE ADJUDICACIONES,,Asset,,,,,1330,,,,,,,,,,
133095,OTROS,,Asset,,,,,1330,,,,,,,,,,
1332,CUENTAS DE OPERACION CONJUNTA,,Asset,,,Yes,,13,,,,,,,,,,
133201,133201 a 133298,,Asset,,,,,1332,,,,,,,,,,
1335,DEPOSITOS,,Asset,,,Yes,,13,,,,,,,,,,
133505,PARA IMPORTACIONES,,Asset,,,,,1335,,,,,,,,,,
133510,PARA SERVICIOS,,Asset,,,,,1335,,,,,,,,,,
133515,PARA CONTRATOS,,Asset,,,,,1335,,,,,,,,,,
133520,PARA RESPONSABILIDADES,,Asset,,,,,1335,,,,,,,,,,
133525,PARA JUICIOS EJECUTIVOS,,Asset,,,,,1335,,,,,,,,,,
133530,"PARA ADQUISICION DE ACCIONES, CUOTAS O DERECHOS SOCIALES",,Asset,,,,,1335,,,,,,,,,,
133535,EN GARANTIA,,Asset,,,,,1335,,,,,,,,,,
133595,OTROS,,Asset,,,,,1335,,,,,,,,,,
1340,PROMESAS DE COMPRA VENTA,,Asset,,,Yes,,13,,,,,,,,,,
134005,DE BIENES RAICES,,Asset,,,,,1340,,,,,,,,,,
134010,DE MAQUINARIA Y EQUIPO,,Asset,,,,,1340,,,,,,,,,,
134015,DE FLOTA Y EQUIPO DE TRANSPORTE,,Asset,,,,,1340,,,,,,,,,,
134020,DE FLOTA Y EQUIPO AEREO,,Asset,,,,,1340,,,,,,,,,,
134025,DE FLOTA Y EQUIPO FERREO,,Asset,,,,,1340,,,,,,,,,,
134030,DE FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,,Asset,,,,,1340,,,,,,,,,,
134035,DE SEMOVIENTES,,Asset,,,,,1340,,,,,,,,,,
134095,DE OTROS BIENES,,Asset,,,,,1340,,,,,,,,,,
1345,INGRESOS POR COBRAR,,Asset,,,Yes,,13,,,,,,,,,,
134505,DIVIDENDOS Y/O PARTICIPACIONES,,Asset,,,,,1345,,,,,,,,,,
134510,INTERESES,,Asset,,,,,1345,,,,,,,,,,
134515,COMISIONES,,Asset,,,,,1345,,,,,,,,,,
134520,HONORARIOS,,Asset,,,,,1345,,,,,,,,,,
134525,SERVICIOS,,Asset,,,,,1345,,,,,,,,,,
134530,ARRENDAMIENTOS,,Asset,,,,,1345,,,,,,,,,,
134535,CERT POR COBRAR,,Asset,,,,,1345,,,,,,,,,,
134595,OTROS,,Asset,,,,,1345,,,,,,,,,,
1350,RETENCION SOBRE CONTRATOS,,Asset,,,Yes,,13,,,,,,,,,,
135005,DE CONSTRUCCION,,Asset,,,,,1350,,,,,,,,,,
135010,DE PRESTACION DE SERVICIOS,,Asset,,,,,1350,,,,,,,,,,
135095,OTROS,,Asset,,,,,1350,,,,,,,,,,
1355,ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR,,Asset,,,Yes,,13,,,,,,,,,,
135505,ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS,,Asset,,,Yes,,1355,,,,,,,,,,
13550505,ANTICIPO RENTA IVA COMPRA ACTIVOS,,Asset,,,,,135505,,,,,,,,,,
135510,ANTICIPO DE IMPUESTOS DE INDUSTRIA Y COMERCIO,,Asset,,,,,1355,,,,,,,,,,
135515,RETENCION EN LA FUENTE,,Asset,,,Yes,,1355,,,,,,,,,,
13551515,HONORARIOS,,Asset,,,,,135515,,,,,,,,,,
13551525,SERVICIOS,,Asset,,,,,135515,,,,,,,,,,
13551535,RENDIMIENTOS FINANCIEROS,,Asset,,,,,135515,,,,,,,,,,
135517,IMPUESTO A LAS VENTAS RETENIDO,,Asset,,,Yes,,1355,,,,,,,,,,
13551701,I.V.A. RETENIDO POR TERCEROS,,Asset,,,,,135517,,,,,,,,,,
13551702,I.V.A. RETENIDO A REGIMEN SIMPLIFICA,,Asset,,,,,135517,,,,,,,,,,
135518,IMPUESTO DE INDUSTRIA Y COMERCIO RET,,Asset,,,,,1355,,,,,,,,,,
135520,SOBRANTES EN LIQUIDACION PRIVADA DE IMPUESTOS,,Asset,,,,,1355,,,,,,,,,,
135525,CONTRIBUCIONES,,Asset,,,,,1355,,,,,,,,,,
135530,IMPUESTOS DESCONTABLES,,Asset,,,,,1355,,,,,,,,,,
135595,OTROS,,Asset,,,Yes,,1355,,,,,,,,,,
13559501,ANTICIPO SOBRETASA IMPORRENTA 2003,,Asset,,,,,135595,,,,,,,,,,
13559590,DEFAULT ANTICIPO IMPUESTOS,,Asset,,,,T_CREDIT_ACCT,135595,,,,,,,,,,
1360,RECLAMACIONES,,Asset,,,Yes,,13,,,,,,,,,,
136005,A COMPAÑIAS ASEGURADORAS,,Asset,,,,,1360,,,,,,,,,,
136010,A TRANSPORTADORES,,Asset,,,,,1360,,,,,,,,,,
136015,POR TIQUETES AEREOS,,Asset,,,,,1360,,,,,,,,,,
136095,OTRAS,,Asset,,,,,1360,,,,,,,,,,
1365,CUENTAS POR COBRAR A TRABAJADORES,,Asset,,,Yes,,13,,,,,,,,,,
136505,VIVIENDA,,Asset,,,,,1365,,,,,,,,,,
136510,VEHICULOS,,Asset,,,,,1365,,,,,,,,,,
136515,EDUCACION,,Asset,,,,,1365,,,,,,,,,,
136520,"MEDICOS, ODONTOLOGICOS Y SIMILARES",,Asset,,,,,1365,,,,,,,,,,
136525,CALAMIDAD DOMESTICA,,Asset,,,,,1365,,,,,,,,,,
136530,RESPONSABILIDADES,,Asset,,,,,1365,,,,,,,,,,
136595,OTROS,,Asset,,,,,1365,,,,,,,,,,
1370,PRESTAMOS A PARTICULARES,,Asset,,,Yes,,13,,,,,,,,,,
137005,CON GARANTIA REAL,,Asset,,,,,1370,,,,,,,,,,
137010,CON GARANTIA PERSONAL,,Asset,,,,,1370,,,,,,,,,,
1380,DEUDORES VARIOS,,Asset,,,Yes,,13,,,,,,,,,,
138005,DEPOSITARIOS,,Asset,,,,,1380,,,,,,,,,,
138010,COMISIONISTAS DE BOLSAS,,Asset,,,,,1380,,,,,,,,,,
138015,FONDO DE INVERSION,,Asset,,,,,1380,,,,,,,,,,
138020,CUENTAS POR COBRAR DE TERCEROS,,Asset,,,,,1380,,,,,,,,,,
138025,PAGOS POR CUENTA DE TERCEROS,,Asset,,,,,1380,,,,,,,,,,
138030,FONDOS DE INVERSION SOCIAL,,Asset,,,,,1380,,,,,,,,,,
138095,OTROS,,Asset,,,,,1380,,,,,,,,,,
1385,DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA,,Asset,,,Yes,,13,,,,,,,,,,
138501,138501 a 138598,,Asset,,,,,1385,,,,,,,,,,
1390,DEUDAS DE DIFICIL COBRO,,Asset,,,Yes,,13,,,,,,,,,,
139001,139001 a 139098,,Asset,,,,,1390,,,,,,,,,,
1399,PROVISIONES,,Asset,,,Yes,,13,,,,,,,,,,
139905,CLIENTES,,Asset,,,,,1399,,,,,,,,,,
139910,CUENTAS CORRIENTES COMERCIALES,,Asset,,,,,1399,,,,,,,,,,
139915,CUENTAS POR COBRAR A CASA MATRIZ,,Asset,,,,,1399,,,,,,,,,,
139920,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS,,Asset,,,,,1399,,,,,,,,,,
139925,CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS,,Asset,,,,,1399,,,,,,,,,,
139930,ANTICIPOS Y AVANCES,,Asset,,,,,1399,,,,,,,,,,
139932,CUENTAS DE OPERACION CONJUNTA,,Asset,,,,,1399,,,,,,,,,,
139935,DEPOSITOS,,Asset,,,,,1399,,,,,,,,,,
139940,PROMESAS DE COMPRAVENTA,,Asset,,,,,1399,,,,,,,,,,
139945,INGRESOS POR COBRAR,,Asset,,,,,1399,,,,,,,,,,
139950,RETENCION SOBRE CONTRATOS,,Asset,,,,,1399,,,,,,,,,,
139955,RECLAMACIONES,,Asset,,,,,1399,,,,,,,,,,
139960,CUENTAS POR COBRAR A TRABAJADORES,,Asset,,,,,1399,,,,,,,,,,
139965,PRESTAMOS A PARTICULARES,,Asset,,,,,1399,,,,,,,,,,
139975,DEUDORES VARIOS,,Asset,,,,,1399,,,,,,,,,,
139980,DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA,,Asset,,,,,1399,,,,,,,,,,
14,INVENTARIOS,,Asset,,,Yes,,1,,,,,,,,,,
1405,MATERIAS PRIMAS,,Asset,,,Yes,,14,,,,,,,,,,
140501,140501 a 140598,,Asset,,,,,1405,,,,,,,,,,
140599,AJUSTES POR INFLACION,,Asset,,,,,1405,,,,,,,,,,
1410,PRODUCTOS EN PROCESO,,Asset,,,Yes,,14,,,,,,,,,,
141001,141001 a 141098,,Asset,,,,,1410,,,,,,,,,,
141099,AJUSTES POR INFLACION,,Asset,,,,,1410,,,,,,,,,,
1415,OBRAS DE CONSTRUCCION EN CURSO,,Asset,,,Yes,,14,,,,,,,,,,
141501,141501 a 141598,,Asset,,,,,1415,,,,,,,,,,
141599,AJUSTES POR INFLACION,,Asset,,,,,1415,,,,,,,,,,
1417,OBRAS DE URBANISMO,,Asset,,,Yes,,14,,,,,,,,,,
141701,141701 a 141798,,Asset,,,,,1417,,,,,,,,,,
141799,AJUSTES POR INFLACION,,Asset,,,,,1417,,,,,,,,,,
1420,CONTRATOS EN EJECUCION,,Asset,,,Yes,,14,,,,,,,,,,
142001,142001 a 142098,,Asset,,,,,1420,,,,,,,,,,
142090,DEFAULT ACTIVOS PROYECTO,,Asset,,,,PJ_ASSET_ACCT,1420,,,,,,,,,,
142091,DEFAULT TRABAJO EN PROCESO (CARGOS DIFERIDOS PERSONAL DEL PROYECTO),,Asset,,,,PJ_WIP_ACCT,1420,,,,,,,,,,
142099,AJUSTES POR INFLACION,,Asset,,,,,1420,,,,,,,,,,
1425,CULTIVOS EN DESARROLLO,,Asset,,,Yes,,14,,,,,,,,,,
142501,142501 a 142598,,Asset,,,,,1425,,,,,,,,,,
142599,AJUSTES POR INFLACION,,Asset,,,,,1425,,,,,,,,,,
1430,PRODUCTOS TERMINADOS,,Asset,,,Yes,,14,,,,,,,,,,
143005,PRODUCTOS MANUFACTURADOS,,Asset,,,,,1430,,,,,,,,,,
143010,PRODUCTOS EXTRAIDOS Y/O PROCESADOS,,Asset,,,,,1430,,,,,,,,,,
